"LocalityString"	"Drainage"	"Country"	"State"	"County"	"Continent"
Buncombe Arm of Lake Texoma (reservoir)	Red River	United States of America	Oklahoma	Unknown	North America
MArtin Branch (Trib to Bouie Creek) @ Lott Town Rd Bridge; W of Rte 589 ~3 mi N Sumrall	Pascagoula River	United States of America	Mississippi	Covington	North America
Gulf of Mexico; Straits of Florida SSE of Maquesas Keys	Gulf of Mexico	United States of America	Unknown	Unknown	North America
Dry Creek;  bridge at Gillespie Lane	Duck	United States of America	Tennessee	Maury	North America
Saunders Fork about 2.3 miles from intersection of HWY 145 and HWY 96; about 200 meters from intersection of HWY 145 and Cooper Hollow Road	Cumberland	United States of America	Tennessee	Cannon	North America
Mississippi River, overflow pond at river mile 78 English Turn	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Barrier Beach at Port Fourchon near SW corner of Bay Champagne Lake	Gulf of Mexico	United States of America	Louisiana	Unknown	North America
Boutte Pt. #2	Unknown	United States of America	Louisiana	St. Charles	North America
Marsh at Cocodrie; Flume study #15	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
"Gulf of Mexico, 28°51'48""N and 90°01'31""W, 400 meters south of Louisiana Offshore Oil Platform (LOOP)."	Gulf of Mexico	United States of America	Louisiana	Unknown	North America
Gulf of Mexico off Fourdion	Gulf of Mexico	United States of America	Louisiana	Unknown	North America
Gulf of Mexico just off East Timbalier Island; 16' depth	Gulf of Mexico	United States of America	Louisiana	Unknown	North America
LOOP Sta L7; middle of Lake Jesse about 1.2 miles E of Leeville; 16' trawl	Gulf of Mexico	United States of America	Louisiana	La Fourche	North America
not applicable, see remarks	Unknown	Unknown	Unknown	Unknown	Unknown
not applicable, see remarks	Unknown	Unknown	Unknown	Unknown	Unknown
not applicable, see remarks	Unknown	Unknown	Unknown	Unknown	Unknown
Gulf of Mexico, Sta. N746	Gulf of Mexico	United States of America	Louisiana		North America
					
Trinity River at TX 105,  4 miles NW of Moss Hill	Trinity River	United States of America	Texas	Liberty	North America
Gulf of Mexico approximately 1.2 mi. S Isles Dernieres & 2.3 mi. SW E end Wine Island Pass.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Lake Pelto approximately 2.3 mi. NW E end Isles Dernieres (Wine Island Pass).	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Gulf of Mexico 200' S Isle Dernieres & 1.7 mi. SW E end Wine Island Pass.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Gulf of Mexico, 200 ft S Isles Derniers or approx. 3.6 mi. SW E end Wine Island Pass.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Gulf of Mexico approximately 1.2 mi. S Isles Dernieres & 2.3 mi. SW E end Wine Island Pass.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Northern end of Freeport Sulphur Company canal in Port Sulphur.	Mississippi Delta	United States of America	Louisiana	Plaquemines	North America
Gulf of Mexico approximately 1.2 mi. S Isles Dernieres & 3.9 mi. SW E end Wine Island Pass.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Beach adjacent to Caminada Pass on western end Grand Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Gulf of Mexico approximately 7.1 mi. ESE Grand Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Gulf of Mexico approximately 6.0 mi. SSE Grand Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Dennis Pass 6.0 mi. NNW Port Eads.	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Dennis Pass 2.8 mi. N Port Eads.	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Wright Pass, 3.6 mi. NE Port Eads.	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Rattlesnake Bayou, 1.5 mi. N Grande Ecaille.	Mississippi Delta	United States of America	Louisiana	Plaquemines	North America
Wright Pass 3.6 mi. NE Port Eads.	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Bear Creek at the mouth of Econfina Creek.	North Bay	United States of America	Florida	Bay	North America
Coosa River 2.5 mi. NW of Wallsboro; T19N R18E Sec. 27.	Alabama River	United States of America	Alabama	Elmore	North America
Biloxi Bay, E entrance Ocean Springs.	Biloxi Bay	United States of America	Mississippi	Jackson	North America
Rattlesnake Bayou, 1.5 mi N of Grand Ecaille	Mississippi Delta	United States of America	Louisiana	Plaquemines	North America
Lake Grande Ecaille 0.5 mi. W Grande Ecaille.	Mississippi Delta	United States of America	Louisiana	Plaquemines	North America
Bay Lanaux 1 mi. SSE Port Sulphur.	Mississippi Delta	United States of America	Louisiana	Plaquemines	North America
Lake Grande Ecaille 2.8 mi. W Grande Ecaille.	Gulf of Mexico	United States of America	Louisiana	Plaquemines	North America
Rattlesnake Bayou, 1.5 mi. N Grande Ecaille.	Mississippi Delta	United States of America	Louisiana	Plaquemines	North America
Lake Grande Ecaille 0.5 mi. W Grande Ecaille.	Gulf of Mexico	United States of America	Louisiana	Plaquemines	North America
Grand Bayou 2.3 mi. SSW Port Sulphur.	Mississippi Delta	United States of America	Louisiana	Plaquemines	North America
Rattlesnake Bayou 1.5 mi. N Grande Ecaille.	Mississippi Delta	United States of America	Louisiana	Plaquemines	North America
Bayou des Acadiens, 2.6 mi. NE Convent.	Lake Pontchartrain	United States of America	Louisiana	St. James	North America
Blind River, 6.0 mi. NNE Convent.	Blind River	United States of America	Louisiana	St. James	North America
Gulf of Mexico approximately 1.2 mi. S Isles Dernieres & 2.3 mi. SW E end Wine Island Pass.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Gulf of Mexico 200' S Isles Dernieres, 1.7 mi. SW E end Wine Island Pass.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Gulf of Mexico 200' S Isles Dernieres, 3.6 mi. SW E end Wine Island Pass.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Grand Bayou 2.3 mi. SSW Port Sulphur.	Mississippi Delta	United States of America	Louisiana	Plaquemines	North America
Atlantic Ocean, 50 fathoms.	Atlantic Ocean				Atlantic Ocean
Gulf of Mexico 1.2 mi. S Isles Dernieres & 3.9 mi. SW E end of Wine Island Pass.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Salt Fork of Arkansas River, below river dam, 3 mi. E 5N jct., OK.	Arkansas River	United States of America	Oklahoma	Alfalfa	North America
Little Talbot Island State Park, recreation area #2.	Atlantic Ocean	United States of America	Florida	Nassau	North America
St. Augustine Inlet at Vilano Beach on Route A1A.	Atlantic Ocean	United States of America	Florida	St. Johns	North America
Gulf of Mexico 1.2 mi. S Isles Dernieres & 2.3 mi. SW E end of Wine Island Pass.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Freeport Sulphur Company Base Camp Island in Lake Pelto, approx. 3 mi. NW E end Isles Dernieres (Wine Island Pass).	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Lake Pelto about 2.3 mi. NW E end Isles Dernieres.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Gulf of Mexico approximately 6.0 mi. SSE Grand Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Gulf of Mexico, approx. 6.9 mi. S town of Grand Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Gulf of Mexico, beach at West Panama City.	Gulf of Mexico	United States of America	Florida	Bay	North America
Rattlesnake Bayou 1.5 mi. N Grande Ecaille.	Gulf of Mexico	United States of America	Louisiana	Plaquemines	North America
Lake Grande Ecaille 2.8 mi. W Grande Ecaille.	Gulf of Mexico	United States of America	Louisiana	Plaquemines	North America
Rattlesnake Bayou 1.5 mi. N of Grande Ecaille.	Mississippi Delta	United States of America	Louisiana	Plaquemines	North America
Blind River, 6.0 mi. NNE Convent.	Blind River	United States of America	Louisiana	St. James	North America
Lake Grande Ecaille 0.5 mi. W Grande Ecaille.	Mississippi Delta	United States of America	Louisiana	Plaquemines	North America
Bay Lanaux 1.0 mi. SSE Port Sulphur.	Mississippi Delta	United States of America	Louisiana	Plaquemines	North America
St. James Parish Canal, 3.8 mi. NNE Convent.	Amite River	United States of America	Louisiana	St. James	North America
Dennis Pass 6 mi. NNW Port Eads.	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Dennis Pass 2.1 mi. NE Port Eads.	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Small bay near skeet range just W of Galveston.	Gulf of Mexico	United States of America	Texas	Galveston	North America
Reck's Pond at Spring Lake, NJ	Pond	United States of America	New Jersey	Monmouth	North America
Marsh, Nine Mile Bayou.	Gulf of Mexico	United States of America	Louisiana	St. Bernard	North America
Ohoopee River, US Hwy. 319, 12.2 mi. NE Wrightsville.	Altamaha River	United States of America	Georgia	Johnson	North America
Wright Pass 3.6 mi. NE Port Eads.	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Lake Pelto about 2.3 mi. NW E end Isles Dernieres (Wine Island Pass).	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Gulf of Mexico 200' S Isles Dernieres & 1.7 mi. SW E end Wine Island Pass.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Gulf of Mexico 200' S Isles Dernieres & 3.6 mi. SW E end Wine Island Pass).	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Gulf of Mexico approximately 1.2 mi. S Isles Dernieres & approximately 3.9 mi. SW from E end Wine Island Pass.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
St. James Parish canal, 3.8 mi. NNE Convent.	Lake Pontchartrain	United States of America	Louisiana	St. James	North America
Gulf of Mexico approximately 6.9 mi. ESE town of Grand Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Gulf of Mexico approximately 6.0 mi. SSE town of Grand Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Gulf of Mexico approximately 6.9 mi. ESE town of Grand Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Dennis Pass, 2.1 mi NE of Port Eads	Mississippi River	United States of America	Louisiana	Plaquemines	North America
Blind River, 6.0 mi. NNE Convent.	Blind River	United States of America	Louisiana	St. James	North America
Bayou des Acadiens, 2.6 mi. NE Convent.	Blind River	United States of America	Louisiana	St. James	North America
Bay Lanaux 1.0 mi. SSE Port Sulphur.	Mississippi Delta	United States of America	Louisiana	Plaquemines	North America
Gulf of Mexico approximately 6.0 mi. ESE town of Grande Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Gulf of Mexico approximately 6.0 mi. SSE town of Grande Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Tangipahoa River, US Hwy. 51, 2.5 mi. S Magnolia.	Lake Pontchartrain	United States of America	Mississippi	Pike	North America
US Hwy. 45, 3.0 mi. N Biggersville.	Hatchie River	United States of America	Mississippi	Alcorn	North America
Indian River near Fort Pierce.	Indian River	United States of America	Florida	St. Lucie	North America
Atlantic Ocean off Mayport.	Atlantic Ocean	United States of America	Florida	Duval	North America
Gulf of Mexico approximately 6.9 mi. S town of Grande Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Gulf of Mexico approximately 6.0 mi. SSE town of Grande Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Blind River 6.0 mi. NNE Convent.	Lake Pontchartrain	United States of America	Louisiana	St. James	North America
Gulf of mexico about 2 mi. S Isles Dernieres & about 3.9 mi. SW E end Wine Island Pass.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Freeport Sulhpur Company base camp island in Lake Pelto, about 3 mi. NW E end Isles Dernieres (Wine Island Pass).	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Gulf of Mexico approximately 7.0 mi. SE Grande Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Gulf of Mexico at eastern end of Grande Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Rattlesnake Bayou 1.5 mi. N Grande Ecaille.	Mississippi Delta	United States of America	Louisiana	Plaquemines	North America
